,en,ru
MM_COPYRIGHT,New year at Lyceum 99 v 1.0 © AZIE Games,Новый Год в Лицее 99 v1.0 © AZIE Games
MM_NEWGAME,New game,Новая игра
MM_CONTINUE,Continue,Продолжить
LS_START,Start,Начать
GO_START,Restart,Заново
GO_EXIT,Give up,Сдаться
GO_LABEL,New year - gone,Новый год - всьо
BATTLE_SCORE,Score: ,Очки: 
CHAR_EGORICH,Egorich,Егорыч
CHAR_TEMICH,Temich,Тёмыч
CHAR_ST,Super Temich,Супер Тёмыч
CHAR_SE,Super Egorich,Супер Егорыч
CHAR_SWETLAN,Swetlana Fedorowna,Светланфёдрна
CHAR_ANZHELN,Anzhela Anatoliewna,Анжелнатольна
CHAR_FINALBOSS,Olga Wasiliewna,Ольгнасильна
CHAR_ASHNIK_1,Student of grade ,Ученик 
CHAR_ASHNIK_2,-A #,-А класса №
CHAR_TITAN,Tatyana Iwanowna,Титанаванна
DIAG_NEXT,Next,Далее
LC_LABEL,Stage clear!,Уровень пройден!
